"dt","geocodeisp","geocodeasns","count","pct_25_norm","pct_50_norm","pct_75_norm"
"2018-06-03","Qwest Communications Company, LLC","[209]","152","-13.000000108149834","5.899999989196658","21.899999983492307"
"2018-06-04","Qwest Communications Company, LLC","[209]","193","-14.10000000760192","-8.000000008905772","14.999999999417923"
"2018-06-05","Qwest Communications Company, LLC","[209]","254","-6.800000002316665","4.80000000243308","26.399999995192047"
"2018-06-06","Qwest Communications Company, LLC","[209]","211","-22.999999988503987","-0.7999999979801942","17.000000011496013"
"2018-06-07","Qwest Communications Company, LLC","[209]","153","-11.30000037397258","9.999999648192897","26.89999963599257"
"2018-05-22","Time Warner Cable Internet LLC","[20001, 11351, 10796, 12271]","84","-25.000000012572855","-10.000000012572855","11.999999987427145"
"2018-05-23","Time Warner Cable Internet LLC","[12271, 20001, 11351, 10796, 11426, 11427]","358","-23.980000140815974","-12.300000147661194","8.299999859184027"
"2018-05-24","Time Warner Cable Internet LLC","[11426, 12271, 20001, 10796, 11427]","594","-23.215000083819007","-2.200000104494393","11.39999991573859"
"2018-05-25","Time Warner Cable Internet LLC","[12271, 11351, 20001, 11427, 10796]","372","-17.800000013783574","-3.4000000450760126","10.800000047311187"
"2018-05-26","Time Warner Cable Internet LLC","[11351, 12271, 11426, 11427, 20001, 10796]","227","-21.70000008865827","-3.100000089034438","19.29999991133809"
"2018-05-27","Time Warner Cable Internet LLC","[11351, 12271, 11427, 20001, 10796, 11426]","154","-19.199999937785833","-0.4000000189989805","15.800000062212348"
"2018-05-28","Time Warner Cable Internet LLC","[10796, 12271, 11426, 11351, 20001, 11427]","149","-20.999999997613486","-6.000000015774276","6.400000002373417"
"2018-05-29","Time Warner Cable Internet LLC","[11427, 20001, 12271, 10796, 11351, 11426]","325","-25.000000000000227","-11.200000016950298","10.569999999999766"
"2018-05-30","Time Warner Cable Internet LLC","[11426, 10796, 11427, 20001, 11351, 12271]","241","-23.99999998851854","-5.500000070242095","14.699999957883847"
"2018-05-31","Time Warner Cable Internet LLC","[11426, 11351, 20001, 11427, 12271, 10796]","403","-25.000000001862645","-1.3999999482184649","17.899999977089465"
"2018-06-01","Time Warner Cable Internet LLC","[12271, 10796, 20001, 11426, 11351, 11427]","373","-18.800000005057882","2.59999999997126","28.10000001068147"
"2018-06-02","Time Warner Cable Internet LLC","[20001, 11427, 10796, 12271, 11351, 11426]","313","-21.400000005494803","-5.600000033155084","8.199999982025474"
"2018-06-03","Time Warner Cable Internet LLC","[11426, 11427, 11351, 10796, 20001, 12271]","262","-19.200000010547228","-4.599999942001887","7.60000005539041"
"2018-06-04","Time Warner Cable Internet LLC","[11426, 11351, 20001, 10796, 11427, 12271, 11955]","460","-27.79999999984284","-10.799999996379483","10.299999987182673"
"2018-06-05","Time Warner Cable Internet LLC","[12271, 11426, 20001, 11351, 7843, 11427, 10796]","558","-26.70000000257278","-8.700000002572892","14.299999997427165"
"2018-06-06","Time Warner Cable Internet LLC","[11427, 20001, 11426, 12271, 10796, 11351]","423","-18.399999927409226","1.3000000010652002","22.799999944254523"
"2018-06-07","Time Warner Cable Internet LLC","[11426, 12271, 10796, 11427, 20001, 11351]","231","-21.50000035762787","-6.500000357627869","16.799999641938484"
